Date,Frequency
2015-10-18 23:38,50.0114
2015-10-18 23:38,50.0106
2015-10-18 23:38,50.0077
2015-10-18 23:38,50.0066
2015-10-18 23:38,50.0032
2015-10-18 23:38,49.9986
2015-10-18 23:38,50.0021
2015-10-18 23:38,50.0012
2015-10-18 23:38,50.0041
2015-10-18 23:38,50.0034
2015-10-18 23:38,49.9995
2015-10-18 23:38,50.0012
2015-10-18 23:38,49.999
2015-10-18 23:38,49.9991
2015-10-18 23:38,49.9989
2015-10-18 23:38,49.9948
2015-10-18 23:38,49.9945
2015-10-18 23:38,49.9941
2015-10-18 23:38,49.9953
2015-10-18 23:38,49.9962
2015-10-18 23:38,49.9955
2015-10-18 23:38,49.9958
2015-10-18 23:39,49.9956
2015-10-18 23:39,49.9939
2015-10-18 23:39,49.9929
2015-10-18 23:39,49.9911
2015-10-18 23:39,49.9927
2015-10-18 23:39,49.9919
2015-10-18 23:39,49.9929
2015-10-18 23:39,49.9923
2015-10-18 23:39,49.9944
2015-10-18 23:39,49.9922
2015-10-18 23:39,49.9926
2015-10-18 23:39,49.9923
2015-10-18 23:39,49.9892
2015-10-18 23:39,49.9869
2015-10-18 23:39,49.9829
2015-10-18 23:39,49.981
2015-10-18 23:39,49.9794
2015-10-18 23:39,49.9781
2015-10-18 23:39,49.9765
2015-10-18 23:39,49.9748
2015-10-18 23:39,49.9732
2015-10-18 23:39,49.9724
2015-10-18 23:39,49.9755
2015-10-18 23:39,49.9744
2015-10-18 23:39,49.9721
2015-10-18 23:39,49.9781
2015-10-18 23:39,49.9772
2015-10-18 23:39,49.9778
2015-10-18 23:39,49.9786
2015-10-18 23:39,49.9835
2015-10-18 23:39,49.9861
2015-10-18 23:39,49.9832
2015-10-18 23:39,49.9877
2015-10-18 23:39,49.9859
2015-10-18 23:39,49.9909
2015-10-18 23:39,49.9922
2015-10-18 23:39,49.9938
2015-10-18 23:39,49.9958
2015-10-18 23:39,49.994
2015-10-18 23:39,49.9973
2015-10-18 23:39,49.9947
2015-10-18 23:39,49.9924
2015-10-18 23:39,49.995
2015-10-18 23:39,49.994
2015-10-18 23:39,49.993
2015-10-18 23:39,49.9892
2015-10-18 23:39,49.9836
2015-10-18 23:39,49.9866
2015-10-18 23:39,49.9884
2015-10-18 23:39,49.992
2015-10-18 23:39,49.9968
2015-10-18 23:39,49.9988
2015-10-18 23:39,49.9992
2015-10-18 23:39,50.0027
2015-10-18 23:39,50.005
2015-10-18 23:39,50.0101
2015-10-18 23:39,50.012
2015-10-18 23:39,50.0126
2015-10-18 23:39,50.0139
2015-10-18 23:39,50.0149
2015-10-18 23:40,50.0137
2015-10-18 23:40,50.0129
2015-10-18 23:40,50.013
2015-10-18 23:40,50.0123
2015-10-18 23:40,50.0152
2015-10-18 23:40,50.0179
2015-10-18 23:40,50.0175
2015-10-18 23:40,50.0215
2015-10-18 23:40,50.0244
2015-10-18 23:40,50.0263
2015-10-18 23:40,50.0287
2015-10-18 23:40,50.0269
2015-10-18 23:40,50.0262
2015-10-18 23:40,50.0268
2015-10-18 23:40,50.0295
2015-10-18 23:40,50.0306
2015-10-18 23:40,50.0316
2015-10-18 23:40,50.0319
2015-10-18 23:40,50.0315
2015-10-18 23:40,50.0293
2015-10-18 23:40,50.029
2015-10-18 23:40,50.0295
2015-10-18 23:40,50.0289
2015-10-18 23:40,50.0278
2015-10-18 23:40,50.0281
2015-10-18 23:40,50.0279
2015-10-18 23:40,50.025
2015-10-18 23:40,50.0231
2015-10-18 23:40,50.0221
2015-10-18 23:40,50.0202
2015-10-18 23:40,50.0198
2015-10-18 23:40,50.0182
2015-10-18 23:40,50.0164
2015-10-18 23:40,50.014
2015-10-18 23:40,50.0153
2015-10-18 23:40,50.0153
2015-10-18 23:40,50.0168
2015-10-18 23:40,50.0182
2015-10-18 23:40,50.0175
2015-10-18 23:40,50.0217
2015-10-18 23:40,50.0194
2015-10-18 23:40,50.0177
2015-10-18 23:40,50.0205
2015-10-18 23:40,50.0171
2015-10-18 23:40,50.0172
2015-10-18 23:40,50.0184
2015-10-18 23:40,50.0157
2015-10-18 23:40,50.0141
2015-10-18 23:40,50.0108
2015-10-18 23:40,50.0039
2015-10-18 23:40,49.9979
2015-10-18 23:40,49.9958
2015-10-18 23:40,49.9909
2015-10-18 23:40,49.9865
2015-10-18 23:40,49.9841
2015-10-18 23:40,49.9791
2015-10-18 23:40,49.977
2015-10-18 23:40,49.9759
2015-10-18 23:40,49.9781
2015-10-18 23:40,49.9781
2015-10-18 23:41,49.9821
2015-10-18 23:41,49.9838
2015-10-18 23:41,49.9838
2015-10-18 23:41,49.9865
2015-10-18 23:41,49.9894
2015-10-18 23:41,49.9928
2015-10-18 23:41,49.9955
2015-10-18 23:41,49.9991
2015-10-18 23:41,50.0012
2015-10-18 23:41,50.0068
2015-10-18 23:41,50.0065
2015-10-18 23:41,50.0109
2015-10-18 23:41,50.0112
2015-10-18 23:41,50.0104
2015-10-18 23:41,50.0084
2015-10-18 23:41,50.0037
2015-10-18 23:41,50.0022
2015-10-18 23:41,50.0017
2015-10-18 23:41,49.9969
2015-10-18 23:41,49.9929
2015-10-18 23:41,49.9915
2015-10-18 23:41,49.991
2015-10-18 23:41,49.9913
2015-10-18 23:41,49.9922
2015-10-18 23:41,49.9931
2015-10-18 23:41,49.9934
2015-10-18 23:41,49.9945
2015-10-18 23:41,49.9962
2015-10-18 23:41,49.9981
2015-10-18 23:41,49.9989
2015-10-18 23:41,50.0078
2015-10-18 23:41,50.0115
2015-10-18 23:41,50.0166
2015-10-18 23:41,50.0211
2015-10-18 23:41,50.0245
2015-10-18 23:41,50.0265
2015-10-18 23:41,50.031
2015-10-18 23:41,50.0318
2015-10-18 23:41,50.0367
2015-10-18 23:41,50.0402
2015-10-18 23:41,50.0412
2015-10-18 23:41,50.0433
2015-10-18 23:41,50.0457
2015-10-18 23:41,50.0471
2015-10-18 23:41,50.0466
2015-10-18 23:41,50.049
2015-10-18 23:41,50.0478
2015-10-18 23:41,50.046
2015-10-18 23:41,50.0478
2015-10-18 23:41,50.0425
2015-10-18 23:41,50.0397
2015-10-18 23:41,50.0346
2015-10-18 23:41,50.0325
2015-10-18 23:41,50.0298
2015-10-18 23:41,50.0273
2015-10-18 23:41,50.0254
2015-10-18 23:41,50.022
2015-10-18 23:41,50.0236
2015-10-18 23:41,50.0218
2015-10-18 23:41,50.0202
2015-10-18 23:42,50.0191
2015-10-18 23:42,50.0178
2015-10-18 23:42,50.0162
2015-10-18 23:42,50.0142
2015-10-18 23:42,50.0144
2015-10-18 23:42,50.0124
2015-10-18 23:42,50.0088
2015-10-18 23:42,50.0059
2015-10-18 23:42,50.0065
2015-10-18 23:42,50.0045
2015-10-18 23:42,50.006
2015-10-18 23:42,50.0084
2015-10-18 23:42,50.0097
2015-10-18 23:42,50.0111
2015-10-18 23:42,50.0119
2015-10-18 23:42,50.0148
2015-10-18 23:42,50.0169
2015-10-18 23:42,50.0199
2015-10-18 23:42,50.0217
2015-10-18 23:42,50.0214
2015-10-18 23:42,50.0259
2015-10-18 23:42,50.0303
2015-10-18 23:42,50.0404
2015-10-18 23:42,50.0409
2015-10-18 23:42,50.0502
2015-10-18 23:42,50.0514
2015-10-18 23:42,50.0544
2015-10-18 23:42,50.0563
2015-10-18 23:42,50.0605
2015-10-18 23:42,50.062
2015-10-18 23:42,50.0613
2015-10-18 23:42,50.0591
2015-10-18 23:42,50.0561
2015-10-18 23:42,50.0572
2015-10-18 23:42,50.0578
2015-10-18 23:42,50.0622
2015-10-18 23:42,50.0638
2015-10-18 23:42,50.0602
2015-10-18 23:42,50.0575
2015-10-18 23:42,50.0575
2015-10-18 23:42,50.0592
2015-10-18 23:42,50.0594
2015-10-18 23:42,50.0618
2015-10-18 23:42,50.0598
2015-10-18 23:42,50.0615
2015-10-18 23:42,50.0609
2015-10-18 23:42,50.0584
2015-10-18 23:42,50.0582
2015-10-18 23:42,50.0585
2015-10-18 23:42,50.0571
2015-10-18 23:42,50.0581
2015-10-18 23:42,50.057
2015-10-18 23:42,50.054
2015-10-18 23:42,50.0538
2015-10-18 23:42,50.0515
2015-10-18 23:42,50.0544
2015-10-18 23:42,50.053
2015-10-18 23:42,50.0547
2015-10-18 23:42,50.0547
2015-10-18 23:42,50.0533
2015-10-18 23:43,50.0499
2015-10-18 23:43,50.0478
2015-10-18 23:43,50.0467
2015-10-18 23:43,50.0473
2015-10-18 23:43,50.0452
2015-10-18 23:43,50.0454
2015-10-18 23:43,50.0454
2015-10-18 23:43,50.0433
2015-10-18 23:43,50.0416
2015-10-18 23:43,50.042
2015-10-18 23:43,50.0437
2015-10-18 23:43,50.0429
2015-10-18 23:43,50.0428
2015-10-18 23:43,50.0409
2015-10-18 23:43,50.0367
2015-10-18 23:43,50.0355
2015-10-18 23:43,50.0329
2015-10-18 23:43,50.0328
2015-10-18 23:43,50.0317
2015-10-18 23:43,50.0311
2015-10-18 23:43,50.0284
2015-10-18 23:43,50.0251
2015-10-18 23:43,50.0204
2015-10-18 23:43,50.0174
2015-10-18 23:43,50.0124
2015-10-18 23:43,50.0125
2015-10-18 23:43,50.0121
2015-10-18 23:43,50.0133
2015-10-18 23:43,50.0128
2015-10-18 23:43,50.0089
2015-10-18 23:43,50.0096
2015-10-18 23:43,50.0054
2015-10-18 23:43,50.0062
2015-10-18 23:43,50.0038
2015-10-18 23:43,50.0055
2015-10-18 23:43,50.0054
2015-10-18 23:43,50.0027
