0.001,-68.662,271.46
0.0012338,-66.835,271.8
0.0014387,-65.499,272.1
0.0016777,-64.161,272.44
0.0019563,-62.823,272.85
0.0022813,-61.483,273.32
0.0026602,-60.141,273.87
0.003102,-58.796,274.51
0.0036172,-57.448,275.25
0.004218,-56.096,276.11
0.0049186,-54.737,277.11
0.0057356,-53.369,278.27
0.0066883,-51.99,279.6
0.0077992,-50.596,281.13
0.0090946,-49.182,282.89
0.01,-48.296,284.09
0.010605,-47.742,284.88
0.012367,-46.267,287.12
0.014421,-44.75,289.63
0.016816,-43.179,292.38
0.019609,-41.543,295.34
0.022866,-39.83,298.48
0.026664,-38.031,301.69
0.031093,-36.137,304.89
0.036257,-34.146,307.94
0.042279,-32.06,310.72
0.049301,-29.884,313.1
0.05749,-27.632,314.95
0.067039,-25.316,316.19
0.078174,-22.953,316.73
0.091158,-20.56,316.51
0.1,-19.112,316
0.1063,-18.155,315.5
0.12396,-15.756,313.66
0.14454,-13.378,310.97
0.16855,-11.038,307.43
0.19655,-8.7493,303.02
0.22919,-6.5249,297.74
0.26726,-4.3754,291.54
0.31165,-2.3119,284.35
0.36342,-0.35213,276.01
0.42378,1.4672,266.29
0.49417,3.0716,254.97
0.57624,4.3339,242.04
0.67196,5.1012,228.12
0.78357,5.287,214.57
0.91371,4.9564,202.93
1,4.5919,197.38
1.0655,4.2875,194.09
1.2424,3.4624,188.16
1.4488,2.6096,184.8
1.6895,1.8024,183.55
1.9701,1.0771,183.98
2.2973,0.44729,185.76
2.6789,-0.087661,188.62
3.1238,-0.53693,192.36
3.6427,-0.91515,196.86
4.2477,-1.2405,202.05
4.9532,-1.5338,207.89
5.7759,-1.8193,214.34
6.7353,-2.1266,221.37
7.5238,-2.3838,226.73
7.8549,-2.4967,228.86
8.1461,-2.5994,230.68
8.3848,-2.6863,232.13
8.6287,-2.7779,233.57
9.2608,-3.0296,237.1
9.4281,-3.0999,237.98
10,-3.3521,240.86
10.35,-3.5147,242.51
10.397,-3.5371,242.72
11.282,-3.9635,246.52
12.078,-4.3095,249.74
12.785,-4.4558,252.9
13.406,-4.2109,256.63
13.948,-3.2761,261.29
14.416,-1.2168,266.15
14.819,2.4663,267.43
15.164,7.7989,255.06
15.458,12.049,218.11
15.708,12.749,180
